organization,service_name,metadata_created,metadata_modified,author,title,notes,license,resource_name,resource_url,resource_created,trip_update_url,vehicle_position_url
富山市,まいどはやバス,2019-01-11T08:37:33.973258,2020-03-10T07:06:06.402452,富山市活力都市創造部交通政策課,【富山市】まいどはやバスGTFS-JP,"富山市が公開するまいどはやバスGTFS-JPで、富山市オープンデータサイトにリンクしています。データの利用にあたっては、富山市オープンデータ利用規約に従ってください。 

【富山市オープンデータ利用規約】  
https://opdt.city.toyama.lg.jp/pages/terms",cc-zero,【富山市】まいどはやバスGTFS-JP（2020年4月1日改正）,https://opdt.city.toyama.lg.jp/dataset/8de65493-0af7-49d3-aab6-b495fc3ea2b0/resource/43903d9f-1d9c-42f0-bd01-8a5fc1cb828c/download/city-toyama-maidohaya-gtfs20200401.zip,2020-03-10T07:06:06.431915,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-maidohaya/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-maidohaya/VehiclePositions.pb
富山市,呉羽いきいきバス,2019-01-11T08:40:52.931217,2020-03-10T07:08:00.672131,富山市活力都市創造部交通政策課,【富山市】呉羽いきいきバスGTFS-JP,"富山市が公開する呉羽いきいきバスGTFS-JPで、富山市オープンデータサイトにリンクしています。データの利用にあたっては、富山市オープンデータ利用規約に従ってください。 

【富山市オープンデータ利用規約】  
https://opdt.city.toyama.lg.jp/pages/terms",cc-zero,【富山市】呉羽いきいきバスGTFS-JP（2020年4月1日改正）,https://opdt.city.toyama.lg.jp/dataset/8de65493-0af7-49d3-aab6-b495fc3ea2b0/resource/26db7690-aa7e-41b2-8596-0d8bdcd5c885/download/city-toyama-kureha-gtfs20200401.zip,2020-03-10T07:08:00.723691,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-kureha/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-kureha/VehiclePositions.pb
富山市,水橋ふれあいコミュニティバス,2019-01-11T08:43:48.040045,2020-03-10T07:10:02.809864,富山市活力都市創造部交通政策課,【富山市】水橋ふれあいコミュニティバスGTFS-JP,"富山市が公開する水橋ふれあいコミュニティバスGTFS-JPで、富山市オープンデータサイトにリンクしています。データの利用にあたっては、富山市オープンデータ利用規約に従ってください。 
  
【富山市オープンデータ利用規約】  
https://opdt.city.toyama.lg.jp/pages/terms",cc-zero,【富山市】水橋ふれあいコミュニティバスGTFS-JP（2020年4月1日改正）,https://opdt.city.toyama.lg.jp/dataset/8de65493-0af7-49d3-aab6-b495fc3ea2b0/resource/ff01c4dd-14e7-4dbc-acea-09bff6b7d40e/download/city-toyama-mizuhashi-gtfs20200401.zip,2020-03-10T07:10:02.835734,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-mizuhashi/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-mizuhashi/VehiclePositions.pb
富山市,婦中コミュニティバス,2019-01-11T08:45:27.966520,2020-03-10T07:11:39.942064,富山市活力都市創造部交通政策課,【富山市】婦中コミュニティバスGTFS-JP,"富山市が公開する婦中コミュニティバスGTFS-JPで、富山市オープンデータサイトにリンクしています。データの利用にあたっては、富山市オープンデータ利用規約に従ってください。 

【富山市オープンデータ利用規約】  
https://opdt.city.toyama.lg.jp/pages/terms",cc-zero,【富山市】婦中コミュニティバスGTFS-JP（2020年4月1日改正）,https://opdt.city.toyama.lg.jp/dataset/8de65493-0af7-49d3-aab6-b495fc3ea2b0/resource/61a024ce-a377-4dd3-a3c0-b46183896597/download/city-toyama-fuchu-gtfs20200401.zip,2020-03-10T07:11:39.967300,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-fuchu/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-fuchu/VehiclePositions.pb
富山市,八尾コミュニティバス,2019-01-11T08:47:08.169591,2020-03-10T07:14:11.160181,富山市活力都市創造部交通政策課,【富山市】八尾コミュニティバスGTFS-JP,"富山市が公開する八尾コミュニティバスGTFS-JPで、富山市オープンデータサイトにリンクしています。データの利用にあたっては、富山市オープンデータ利用規約に従ってください。 

【富山市オープンデータ利用規約】  
https://opdt.city.toyama.lg.jp/pages/terms",cc-zero,【富山市】八尾コミュニティバスGTFS-JP（2020年4月1日改正）,https://opdt.city.toyama.lg.jp/dataset/8de65493-0af7-49d3-aab6-b495fc3ea2b0/resource/927992fb-e889-43cb-aa55-3bc3cab2e0aa/download/city-toyama-yatsuo-gtfs20200401.zip,2020-03-10T07:13:28.277681,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-yatsuo/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-yatsuo/VehiclePositions.pb
富山市,大山コミュニティバス,2019-01-11T08:53:04.804469,2020-03-10T07:16:20.660903,富山市活力都市創造部交通政策課,【富山市】大山コミュニティバスGTFS-JP,"富山市が公開する大山コミュニティバスGTFS-JPで、富山市オープンデータサイトにリンクしています。データの利用にあたっては、富山市オープンデータ利用規約に従ってください。 
    
【富山市オープンデータ利用規約】  
https://opdt.city.toyama.lg.jp/pages/terms",cc-zero,【富山市】大山コミュニティバスGTFS-JP（2020年4月1日改正）,https://opdt.city.toyama.lg.jp/dataset/8de65493-0af7-49d3-aab6-b495fc3ea2b0/resource/378bcf3e-8f32-477a-857d-2d3917b6e84d/download/city-toyama-oyama-gtfs20200401.zip,2020-03-10T07:15:50.841919,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-oyama/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-oyama/VehiclePositions.pb
富山市,山田コミュニティバス,2019-01-11T08:55:09.690391,2020-03-10T07:18:08.700697,富山市活力都市創造部交通政策課,【富山市】山田コミュニティバスGTFS-JP,"富山市が公開する山田コミュニティバスGTFS-JPで、富山市オープンデータサイトにリンクしています。データの利用にあたっては、富山市オープンデータ利用規約に従ってください。 

【富山市オープンデータ利用規約】
https://opdt.city.toyama.lg.jp/pages/terms",cc-zero,【富山市】山田コミュニティバスGTFS-JP（2020年4月1日改正）,https://opdt.city.toyama.lg.jp/dataset/8de65493-0af7-49d3-aab6-b495fc3ea2b0/resource/665ab7b2-e434-4a4a-8175-32a433b60008/download/city-toyama-yamada-gtfs20200401.zip,2020-03-10T07:18:08.713672,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-yamada/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-yamada/VehiclePositions.pb
富山市,堀川南地域コミュニティバス,2019-07-05T05:53:37.925196,2020-03-10T07:22:53.492180,富山市活力都市創造部交通政策課,【富山市】堀川南地域コミュニティバスGTFS-JP,"富山市が公開する堀川南地域コミュニティバスGTFS-JPで、富山市オープンデータサイトにリンクしています。データの利用にあたっては、富山市オープンデータ利用規約に従ってください。   
  
【富山市オープンデータ利用規約】  
https://opdt.city.toyama.lg.jp/pages/terms
",cc-zero,【富山市】堀川南地域コミュニティバスGTFS-JP（2020年4月1日改正）,https://opdt.city.toyama.lg.jp/dataset/8de65493-0af7-49d3-aab6-b495fc3ea2b0/resource/5cb228a9-8a44-4db5-bbe5-3dcbabf1c1f6/download/city-toyama-horikawaminami-gtfs20200401.zip,2020-03-10T07:22:53.510537,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-horikawaminami/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-horikawaminami/VehiclePositions.pb
高岡市,高岡市公営バス,2019-01-10T11:22:18.145201,2020-03-18T07:16:59.954428,高岡市地域振興課,【高岡市】高岡市公営バスGTFS-JP,"高岡市が公開する高岡市公営バスGTFS-JP（2020年4月1日改正）で、高岡市オープンデータカタログページにリンクしています。データの利用にあたっては、高岡市オープンデータ利用条件に従ってください。  
  
【高岡市オープンデータ利用条件】  
https://www.city.takaoka.toyama.jp/joho/shise/opendata/info.html",cc-zero,【高岡市】高岡市公営バスGTFS-JPデータ（2020年4月1日改正）,https://www.city.takaoka.toyama.jp/joho/shise/opendata/documents/r20313citytakaokagtfs.zip,2020-03-18T07:10:45.359640,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/takaoka-city/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/takaoka-city/VehiclePositions.pb
射水市,きときとバス,2019-02-25T07:17:09.982078,2020-03-18T07:08:24.282397,射水市生活安全課,【射水市】きときとバス GTFS-JP,"射水市が公開するきときとバス GTFS-JP （2020年4月1日改正）で、射水市オープンデータサイトにリンクしています。データの利用にあたっては、射水市オープンデータ利用規約に従ってください。   
  
【射水市オープンデータ利用規約】  
http://www.city.imizu.toyama.jp/appupload/EDIT/071/071513.pdf
",cc-zero,【射水市】きときとバス GTFS-JP（2020年4月1日改正）,https://www.city.imizu.toyama.jp/appupload/EDIT/086/086325.zip,2020-03-18T07:08:24.335394,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/imizu-city/TripUpdates.pb,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/imizu-city/VehiclePositions.pb
